traces,algorithm,cache_size,hit_rate,dataset,rank
webserver-2012-11-15-1,lru,0.01,31.25,CloudCache,6.0
webserver-2012-11-15-1,lfu,0.01,16.91,CloudCache,7.0
webserver-2012-11-22-1,lecar,0.01,10.6,CloudCache,1.0
webserver-2012-11-22-1,lirs,0.01,10.17,CloudCache,1.0
webserver-2012-11-22-1,dlirs,0.01,9.13,CloudCache,3.0
webserver-2012-11-22-1,scanalecar,0.01,8.19,CloudCache,4.0
webserver-2012-11-22-1,lru,0.01,7.23,CloudCache,5.0
webserver-2012-11-22-1,arc,0.01,6.81,CloudCache,6.0
webserver-2012-11-22-1,lfu,0.01,5.59,CloudCache,7.0
webserver-2012-11-29-1,arc,0.01,34.94,CloudCache,1.0
webserver-2012-11-29-1,scanalecar,0.01,34.88,CloudCache,1.0
webserver-2012-11-29-1,dlirs,0.01,34.86,CloudCache,1.0
webserver-2012-11-29-1,lirs,0.01,33.71,CloudCache,1.0
webserver-2012-11-29-1,lecar,0.01,33.41,CloudCache,1.0
webserver-2012-11-29-1,lru,0.01,32.68,CloudCache,6.0
webserver-2012-11-29-1,lfu,0.01,1.11,CloudCache,7.0
moodle-2012-11-26-1,lirs,0.05,28.88,CloudCache,1.0
moodle-2012-11-26-1,dlirs,0.05,28.34,CloudCache,1.0
moodle-2012-11-26-1,arc,0.05,27.69,CloudCache,1.0
moodle-2012-11-26-1,scanalecar,0.05,27.42,CloudCache,4.0
moodle-2012-11-26-1,lru,0.05,26.78,CloudCache,5.0
moodle-2012-11-26-1,lecar,0.05,26.69,CloudCache,6.0
moodle-2012-11-26-1,lfu,0.05,16.62,CloudCache,7.0
webserver-2012-11-01-1,lecar,0.05,40.41,CloudCache,1.0
webserver-2012-11-01-1,dlirs,0.05,38.03,CloudCache,2.0
webserver-2012-11-01-1,arc,0.05,37.98,CloudCache,3.0
webserver-2012-11-01-1,lru,0.05,37.72,CloudCache,4.0
webserver-2012-11-01-1,lirs,0.05,37.44,CloudCache,5.0
webserver-2012-11-01-1,scanalecar,0.05,37.27,CloudCache,6.0
webserver-2012-11-01-1,lfu,0.05,0.93,CloudCache,7.0
webserver-2012-11-08-1,lecar,0.05,39.51,CloudCache,1.0
webserver-2012-11-08-1,arc,0.05,36.61,CloudCache,2.0
webserver-2012-11-08-1,dlirs,0.05,36.51,CloudCache,3.0
webserver-2012-11-08-1,lru,0.05,36.29,CloudCache,4.0
webserver-2012-11-08-1,scanalecar,0.05,36.15,CloudCache,5.0
webserver-2012-11-08-1,lirs,0.05,35.72,CloudCache,6.0
webserver-2012-11-08-1,lfu,0.05,0.69,CloudCache,7.0
webserver-2012-11-15-1,lecar,0.05,37.17,CloudCache,1.0
webserver-2012-11-15-1,dlirs,0.05,34.52,CloudCache,2.0
